,LLM Type,Version,Question,Strategy,Metric,Percentage
102,gemini,gemini-1.0-pro-latest,2,word.csv,coverage,82.0
103,gemini,gemini-1.0-pro-latest,2,word.csv,clarity,510.0
104,gemini,gemini-1.0-pro-latest,2,table.csv,IA,26.2
105,gemini,gemini-1.0-pro-latest,2,table.csv,EF,26.2
106,gemini,gemini-1.0-pro-latest,2,table.csv,USW,9.0
107,gemini,gemini-1.0-pro-latest,2,table.csv,PO,47.9
108,gemini,gemini-1.0-pro-latest,2,table.csv,MAX,9.0
109,gemini,gemini-1.0-pro-latest,2,table.csv,RMM,38.9
110,gemini,gemini-1.0-pro-latest,2,table.csv,coverage,82.0
111,gemini,gemini-1.0-pro-latest,2,table.csv,clarity,642.0
112,gemini,gemini-1.0-pro-latest,2,word_best.csv,IA,26.2
113,gemini,gemini-1.0-pro-latest,2,word_best.csv,EF,26.2
114,gemini,gemini-1.0-pro-latest,2,word_best.csv,USW,9.0
115,gemini,gemini-1.0-pro-latest,2,word_best.csv,PO,47.9
116,gemini,gemini-1.0-pro-latest,2,word_best.csv,MAX,9.0
117,gemini,gemini-1.0-pro-latest,2,word_best.csv,RMM,38.9
118,gemini,gemini-1.0-pro-latest,2,word_best.csv,coverage,82.0
119,gemini,gemini-1.0-pro-latest,2,word_best.csv,clarity,690.0
120,gemini,gemini-1.0-pro-latest,2,word_rank.csv,IA,26.2
121,gemini,gemini-1.0-pro-latest,2,word_rank.csv,EF,26.2
122,gemini,gemini-1.0-pro-latest,2,word_rank.csv,USW,9.0
123,gemini,gemini-1.0-pro-latest,2,word_rank.csv,PO,47.9
124,gemini,gemini-1.0-pro-latest,2,word_rank.csv,MAX,9.0
125,gemini,gemini-1.0-pro-latest,2,word_rank.csv,RMM,38.9
126,gemini,gemini-1.0-pro-latest,2,word_rank.csv,coverage,82.0
127,gemini,gemini-1.0-pro-latest,2,word_rank.csv,clarity,830.0
128,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric.csv,IA,26.2
129,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric.csv,EF,26.2
130,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric.csv,USW,9.0
131,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric.csv,PO,47.9
132,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric.csv,MAX,9.0
133,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric.csv,RMM,38.9
134,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric.csv,coverage,82.0
135,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric.csv,clarity,3812.0
136,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_optional.csv,IA,26.2
137,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_optional.csv,EF,26.2
138,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_optional.csv,USW,9.0
139,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_optional.csv,PO,47.9
140,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_optional.csv,MAX,9.0
141,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_optional.csv,RMM,38.9
142,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_optional.csv,coverage,82.0
143,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_optional.csv,clarity,1998.0
144,gemini,gemini-1.0-pro-latest,2,pipes.csv,IA,26.2
145,gemini,gemini-1.0-pro-latest,2,pipes.csv,EF,26.2
146,gemini,gemini-1.0-pro-latest,2,pipes.csv,USW,9.0
147,gemini,gemini-1.0-pro-latest,2,pipes.csv,PO,47.9
148,gemini,gemini-1.0-pro-latest,2,pipes.csv,MAX,9.0
149,gemini,gemini-1.0-pro-latest,2,pipes.csv,RMM,38.9
150,gemini,gemini-1.0-pro-latest,2,pipes.csv,coverage,82.0
151,gemini,gemini-1.0-pro-latest,2,pipes.csv,clarity,514.0
152,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_mandatory.csv,IA,26.2
153,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_mandatory.csv,EF,26.2
154,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_mandatory.csv,USW,9.0
155,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_mandatory.csv,PO,47.9
156,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_mandatory.csv,MAX,9.0
157,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_mandatory.csv,RMM,38.9
158,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_mandatory.csv,coverage,82.0
159,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_mandatory.csv,clarity,1680.0
160,gemini,gemini-1.0-pro-latest,3,word_best_person_centric.csv,IA,0.0
161,gemini,gemini-1.0-pro-latest,3,word_best_person_centric.csv,EF,27.8
162,gemini,gemini-1.0-pro-latest,3,word_best_person_centric.csv,USW,7.0
163,gemini,gemini-1.0-pro-latest,3,word_best_person_centric.csv,PO,47.3
164,gemini,gemini-1.0-pro-latest,3,word_best_person_centric.csv,MAX,0.0
165,gemini,gemini-1.0-pro-latest,3,word_best_person_centric.csv,RMM,40.3
166,gemini,gemini-1.0-pro-latest,3,word_best_person_centric.csv,coverage,64.9
167,gemini,gemini-1.0-pro-latest,3,word_best_person_centric.csv,clarity,2056.0
168,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_True.csv,IA,0.0
169,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_True.csv,EF,27.8
170,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_True.csv,USW,7.0
171,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_True.csv,PO,47.3
172,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_True.csv,MAX,0.0
173,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_True.csv,RMM,40.3
174,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_True.csv,coverage,64.9
175,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_True.csv,clarity,2836.0
176,gemini,gemini-1.0-pro-latest,3,word.csv,IA,0.0
177,gemini,gemini-1.0-pro-latest,3,word.csv,EF,27.8
178,gemini,gemini-1.0-pro-latest,3,word.csv,USW,7.0
179,gemini,gemini-1.0-pro-latest,3,word.csv,PO,47.3
180,gemini,gemini-1.0-pro-latest,3,word.csv,MAX,0.0
181,gemini,gemini-1.0-pro-latest,3,word.csv,RMM,40.3
182,gemini,gemini-1.0-pro-latest,3,word.csv,coverage,64.9
183,gemini,gemini-1.0-pro-latest,3,word.csv,clarity,726.0
184,gemini,gemini-1.0-pro-latest,3,table.csv,IA,0.0
185,gemini,gemini-1.0-pro-latest,3,table.csv,EF,27.8
186,gemini,gemini-1.0-pro-latest,3,table.csv,USW,7.0
187,gemini,gemini-1.0-pro-latest,3,table.csv,PO,47.3
188,gemini,gemini-1.0-pro-latest,3,table.csv,MAX,0.0
189,gemini,gemini-1.0-pro-latest,3,table.csv,RMM,40.3
190,gemini,gemini-1.0-pro-latest,3,table.csv,coverage,64.9
191,gemini,gemini-1.0-pro-latest,3,table.csv,clarity,798.0
192,gemini,gemini-1.0-pro-latest,3,word_best.csv,IA,0.0
193,gemini,gemini-1.0-pro-latest,3,word_best.csv,EF,27.8
194,gemini,gemini-1.0-pro-latest,3,word_best.csv,USW,7.0
195,gemini,gemini-1.0-pro-latest,3,word_best.csv,PO,47.3
196,gemini,gemini-1.0-pro-latest,3,word_best.csv,MAX,0.0
197,gemini,gemini-1.0-pro-latest,3,word_best.csv,RMM,40.3
198,gemini,gemini-1.0-pro-latest,3,word_best.csv,coverage,64.9
199,gemini,gemini-1.0-pro-latest,3,word_best.csv,clarity,1162.0
200,gemini,gemini-1.0-pro-latest,3,word_rank.csv,IA,0.0
201,gemini,gemini-1.0-pro-latest,3,word_rank.csv,EF,27.8
202,gemini,gemini-1.0-pro-latest,3,word_rank.csv,USW,7.0
203,gemini,gemini-1.0-pro-latest,3,word_rank.csv,PO,47.3
204,gemini,gemini-1.0-pro-latest,3,word_rank.csv,MAX,0.0
205,gemini,gemini-1.0-pro-latest,3,word_rank.csv,RMM,40.3
206,gemini,gemini-1.0-pro-latest,3,word_rank.csv,coverage,64.9
207,gemini,gemini-1.0-pro-latest,3,word_rank.csv,clarity,774.0
208,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric.csv,IA,0.0
209,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric.csv,EF,27.8
210,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric.csv,USW,7.0
211,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric.csv,PO,47.3
212,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric.csv,MAX,0.0
213,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric.csv,RMM,40.3
214,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric.csv,coverage,64.9
215,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric.csv,clarity,2214.0
216,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_optional.csv,IA,0.0
217,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_optional.csv,EF,27.8
218,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_optional.csv,USW,7.0
219,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_optional.csv,PO,47.3
220,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_optional.csv,MAX,0.0
221,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_optional.csv,RMM,40.3
222,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_optional.csv,coverage,64.9
223,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_optional.csv,clarity,2258.0
224,gemini,gemini-1.0-pro-latest,3,pipes.csv,IA,0.0
225,gemini,gemini-1.0-pro-latest,3,pipes.csv,EF,27.8
226,gemini,gemini-1.0-pro-latest,3,pipes.csv,USW,7.0
227,gemini,gemini-1.0-pro-latest,3,pipes.csv,PO,47.3
228,gemini,gemini-1.0-pro-latest,3,pipes.csv,MAX,0.0
229,gemini,gemini-1.0-pro-latest,3,pipes.csv,RMM,40.3
230,gemini,gemini-1.0-pro-latest,3,pipes.csv,coverage,64.9
231,gemini,gemini-1.0-pro-latest,3,pipes.csv,clarity,1054.0
232,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_mandatory.csv,IA,0.0
233,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_mandatory.csv,EF,27.8
234,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_mandatory.csv,USW,7.0
235,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_mandatory.csv,PO,47.3
236,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_mandatory.csv,MAX,0.0
237,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_mandatory.csv,RMM,40.3
238,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_mandatory.csv,coverage,64.9
239,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_mandatory.csv,clarity,1336.0
240,gemini,gemini-1.0-pro-latest,4,word_best_person_centric.csv,IA,16.5
241,gemini,gemini-1.0-pro-latest,4,word_best_person_centric.csv,EF,64.4
242,gemini,gemini-1.0-pro-latest,4,word_best_person_centric.csv,USW,10.0
243,gemini,gemini-1.0-pro-latest,4,word_best_person_centric.csv,PO,10.0
244,gemini,gemini-1.0-pro-latest,4,word_best_person_centric.csv,MAX,0.0
245,gemini,gemini-1.0-pro-latest,4,word_best_person_centric.csv,RMM,64.4
246,gemini,gemini-1.0-pro-latest,4,word_best_person_centric.csv,coverage,89.9
247,gemini,gemini-1.0-pro-latest,4,word_best_person_centric.csv,clarity,732.0
248,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_True.csv,IA,16.5
249,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_True.csv,EF,64.4
250,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_True.csv,USW,10.0
251,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_True.csv,PO,10.0
252,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_True.csv,MAX,0.0
253,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_True.csv,RMM,64.4
254,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_True.csv,coverage,89.9
255,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_True.csv,clarity,3190.0
256,gemini,gemini-1.0-pro-latest,4,word.csv,IA,16.5
257,gemini,gemini-1.0-pro-latest,4,word.csv,EF,64.4
258,gemini,gemini-1.0-pro-latest,4,word.csv,USW,10.0
259,gemini,gemini-1.0-pro-latest,4,word.csv,PO,10.0
260,gemini,gemini-1.0-pro-latest,4,word.csv,MAX,0.0
261,gemini,gemini-1.0-pro-latest,4,word.csv,RMM,64.4
262,gemini,gemini-1.0-pro-latest,4,word.csv,coverage,89.9
263,gemini,gemini-1.0-pro-latest,4,word.csv,clarity,1164.0
264,gemini,gemini-1.0-pro-latest,4,table.csv,IA,16.5
265,gemini,gemini-1.0-pro-latest,4,table.csv,EF,64.4
266,gemini,gemini-1.0-pro-latest,4,table.csv,USW,10.0
267,gemini,gemini-1.0-pro-latest,4,table.csv,PO,10.0
268,gemini,gemini-1.0-pro-latest,4,table.csv,MAX,0.0
269,gemini,gemini-1.0-pro-latest,4,table.csv,RMM,64.4
270,gemini,gemini-1.0-pro-latest,4,table.csv,coverage,89.9
271,gemini,gemini-1.0-pro-latest,4,table.csv,clarity,1354.0
272,gemini,gemini-1.0-pro-latest,4,word_best.csv,IA,16.5
273,gemini,gemini-1.0-pro-latest,4,word_best.csv,EF,64.4
274,gemini,gemini-1.0-pro-latest,4,word_best.csv,USW,10.0
275,gemini,gemini-1.0-pro-latest,4,word_best.csv,PO,10.0
276,gemini,gemini-1.0-pro-latest,4,word_best.csv,MAX,0.0
277,gemini,gemini-1.0-pro-latest,4,word_best.csv,RMM,64.4
278,gemini,gemini-1.0-pro-latest,4,word_best.csv,coverage,89.9
279,gemini,gemini-1.0-pro-latest,4,word_best.csv,clarity,1642.0
280,gemini,gemini-1.0-pro-latest,4,word_rank.csv,IA,16.5
281,gemini,gemini-1.0-pro-latest,4,word_rank.csv,EF,64.4
282,gemini,gemini-1.0-pro-latest,4,word_rank.csv,USW,10.0
283,gemini,gemini-1.0-pro-latest,4,word_rank.csv,PO,10.0
284,gemini,gemini-1.0-pro-latest,4,word_rank.csv,MAX,0.0
285,gemini,gemini-1.0-pro-latest,4,word_rank.csv,RMM,64.4
286,gemini,gemini-1.0-pro-latest,4,word_rank.csv,coverage,89.9
287,gemini,gemini-1.0-pro-latest,4,word_rank.csv,clarity,870.0
288,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric.csv,IA,16.5
289,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric.csv,EF,64.4
290,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric.csv,USW,10.0
291,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric.csv,PO,10.0
292,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric.csv,MAX,0.0
293,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric.csv,RMM,64.4
294,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric.csv,coverage,89.9
295,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric.csv,clarity,3436.0
296,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_optional.csv,IA,16.5
297,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_optional.csv,EF,64.4
298,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_optional.csv,USW,10.0
299,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_optional.csv,PO,10.0
300,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_optional.csv,MAX,0.0
301,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_optional.csv,RMM,64.4
302,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_optional.csv,coverage,89.9
303,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_optional.csv,clarity,2594.0
304,gemini,gemini-1.0-pro-latest,4,pipes.csv,IA,16.5
305,gemini,gemini-1.0-pro-latest,4,pipes.csv,EF,64.4
306,gemini,gemini-1.0-pro-latest,4,pipes.csv,USW,10.0
307,gemini,gemini-1.0-pro-latest,4,pipes.csv,PO,10.0
308,gemini,gemini-1.0-pro-latest,4,pipes.csv,MAX,0.0
309,gemini,gemini-1.0-pro-latest,4,pipes.csv,RMM,64.4
310,gemini,gemini-1.0-pro-latest,4,pipes.csv,coverage,89.9
311,gemini,gemini-1.0-pro-latest,4,pipes.csv,clarity,1050.0
312,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_mandatory.csv,IA,16.5
313,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_mandatory.csv,EF,64.4
314,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_mandatory.csv,USW,10.0
315,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_mandatory.csv,PO,10.0
316,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_mandatory.csv,MAX,0.0
317,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_mandatory.csv,RMM,64.4
318,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_mandatory.csv,coverage,89.9
319,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_mandatory.csv,clarity,1958.0
320,gemini,gemini-1.0-pro-latest,5,word_best_person_centric.csv,IA,9.3
321,gemini,gemini-1.0-pro-latest,5,word_best_person_centric.csv,EF,65.2
322,gemini,gemini-1.0-pro-latest,5,word_best_person_centric.csv,USW,50.0
323,gemini,gemini-1.0-pro-latest,5,word_best_person_centric.csv,PO,50.0
324,gemini,gemini-1.0-pro-latest,5,word_best_person_centric.csv,MAX,50.0
325,gemini,gemini-1.0-pro-latest,5,word_best_person_centric.csv,RMM,50.0
326,gemini,gemini-1.0-pro-latest,5,word_best_person_centric.csv,coverage,78.7
327,gemini,gemini-1.0-pro-latest,5,word_best_person_centric.csv,clarity,308.0
328,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_True.csv,IA,9.3
329,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_True.csv,EF,65.2
330,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_True.csv,USW,50.0
331,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_True.csv,PO,50.0
332,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_True.csv,MAX,50.0
333,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_True.csv,RMM,50.0
334,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_True.csv,coverage,78.7
335,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_True.csv,clarity,4206.0
336,gemini,gemini-1.0-pro-latest,5,word.csv,IA,9.3
337,gemini,gemini-1.0-pro-latest,5,word.csv,EF,65.2
338,gemini,gemini-1.0-pro-latest,5,word.csv,USW,50.0
339,gemini,gemini-1.0-pro-latest,5,word.csv,PO,50.0
340,gemini,gemini-1.0-pro-latest,5,word.csv,MAX,50.0
341,gemini,gemini-1.0-pro-latest,5,word.csv,RMM,50.0
342,gemini,gemini-1.0-pro-latest,5,word.csv,coverage,78.7
343,gemini,gemini-1.0-pro-latest,5,word.csv,clarity,460.0
344,gemini,gemini-1.0-pro-latest,5,table.csv,IA,9.3
345,gemini,gemini-1.0-pro-latest,5,table.csv,EF,65.2
