,LLM Type,Version,Question,Strategy,Metric,Percentage
34,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_usw.csv,similarity,325.8163531870434
35,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_usw.csv,clarity,14.02
36,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_ef.csv,similarity,602.9839093476123
37,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_ef.csv,clarity,3.65
38,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_eq.csv,similarity,455.58934790514013
39,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_eq.csv,clarity,3.18
40,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_5.csv,similarity,604.0303386773597
41,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_5.csv,clarity,5.41
42,gemini,gemini-1.0-pro-latest,10,word_best_person_centric.csv,similarity,271.5328829675331
43,gemini,gemini-1.0-pro-latest,10,word_best_person_centric.csv,clarity,1.39
44,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_4.csv,similarity,547.9280569921
45,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_4.csv,clarity,4.13
46,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_True.csv,similarity,396.49142995209166
47,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_True.csv,clarity,4.03
48,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_3.csv,similarity,588.7500579634453
49,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_3.csv,clarity,5.05
50,gemini,gemini-1.0-pro-latest,10,word.csv,similarity,248.6629380174657
51,gemini,gemini-1.0-pro-latest,10,word.csv,clarity,1.17
52,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_2.csv,similarity,576.1575849133966
53,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_2.csv,clarity,5.29
54,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_rmm.csv,similarity,561.222131785689
55,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_rmm.csv,clarity,3.88
56,gemini,gemini-1.0-pro-latest,10,table.csv,similarity,251.24304743728354
57,gemini,gemini-1.0-pro-latest,10,table.csv,clarity,0.96
58,gemini,gemini-1.0-pro-latest,10,word_best.csv,similarity,257.16924667613335
59,gemini,gemini-1.0-pro-latest,10,word_best.csv,clarity,1.63
60,gemini,gemini-1.0-pro-latest,10,word_rank.csv,similarity,290.0576522730212
61,gemini,gemini-1.0-pro-latest,10,word_rank.csv,clarity,1.51
62,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric.csv,similarity,632.3913887065245
63,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric.csv,clarity,4.32
64,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_optional.csv,similarity,508.13438855276877
65,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_optional.csv,clarity,6.82
66,gemini,gemini-1.0-pro-latest,10,pipes.csv,similarity,139.11107986735516
67,gemini,gemini-1.0-pro-latest,10,pipes.csv,clarity,0.88
68,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_mandatory.csv,similarity,474.7420443646109
69,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_mandatory.csv,clarity,7.3
70,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_usw.csv,similarity,601.6150934370738
71,gemini,gemini-1.0-pro-latest,10,word_best_goods_centric_usw.csv,clarity,2.88
72,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_ef.csv,similarity,399.27531368705496
73,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_ef.csv,clarity,15.33
74,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_eq.csv,similarity,193.3249532268704
75,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_eq.csv,clarity,5.84
76,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_5.csv,similarity,320.0197952355192
77,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_5.csv,clarity,15.97
78,gemini,gemini-1.0-pro-latest,2,word_best_person_centric.csv,similarity,341.40966921119593
79,gemini,gemini-1.0-pro-latest,2,word_best_person_centric.csv,clarity,3.88
80,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_4.csv,similarity,270.17333854260585
81,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_4.csv,clarity,13.83
82,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_True.csv,similarity,431.31643688634966
83,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_True.csv,clarity,17.83
84,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_3.csv,similarity,285.25984251968504
85,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_3.csv,clarity,14.44
86,gemini,gemini-1.0-pro-latest,2,word.csv,similarity,214.34153058266497
87,gemini,gemini-1.0-pro-latest,2,word.csv,clarity,2.58
88,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_2.csv,similarity,269.88642479816605
89,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_2.csv,clarity,13.7
90,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_rmm.csv,similarity,269.37341163473513
91,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_rmm.csv,clarity,11.77
92,gemini,gemini-1.0-pro-latest,2,table.csv,similarity,275.1188455957934
93,gemini,gemini-1.0-pro-latest,2,table.csv,clarity,3.25
94,gemini,gemini-1.0-pro-latest,2,word_best.csv,similarity,143.22619401775665
95,gemini,gemini-1.0-pro-latest,2,word_best.csv,clarity,3.48
96,gemini,gemini-1.0-pro-latest,2,word_rank.csv,similarity,231.25064615014725
97,gemini,gemini-1.0-pro-latest,2,word_rank.csv,clarity,4.2
98,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric.csv,similarity,334.81977252843393
99,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric.csv,clarity,19.13
100,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_optional.csv,similarity,236.97244428415914
101,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_optional.csv,clarity,9.21
102,gemini,gemini-1.0-pro-latest,2,pipes.csv,similarity,274.10457732908037
103,gemini,gemini-1.0-pro-latest,2,pipes.csv,clarity,2.57
104,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_mandatory.csv,similarity,229.86766228697206
105,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_mandatory.csv,clarity,8.26
106,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_usw.csv,similarity,455.745406824147
107,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_usw.csv,clarity,21.68
108,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_ef.csv,similarity,42.84628735605226
109,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_ef.csv,clarity,6.39
110,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_eq.csv,similarity,99.89731127918182
111,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_eq.csv,clarity,3.41
112,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_5.csv,similarity,47.72873264758157
113,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_5.csv,clarity,12.13
114,gemini,gemini-1.0-pro-latest,3,word_best_person_centric.csv,similarity,168.3494200976216
115,gemini,gemini-1.0-pro-latest,3,word_best_person_centric.csv,clarity,8.31
116,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_4.csv,similarity,34.46497530180983
117,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_4.csv,clarity,9.71
118,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_True.csv,similarity,40.553999340310995
119,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_True.csv,clarity,11.85
120,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_3.csv,similarity,47.74880649326692
121,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_3.csv,clarity,11.68
122,gemini,gemini-1.0-pro-latest,3,word.csv,similarity,57.14905077320269
123,gemini,gemini-1.0-pro-latest,3,word.csv,clarity,3.6
124,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_2.csv,similarity,55.60231023006072
125,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_2.csv,clarity,13.73
126,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_rmm.csv,similarity,39.26712414683639
127,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_rmm.csv,clarity,6.05
128,gemini,gemini-1.0-pro-latest,3,table.csv,similarity,84.78556933706088
129,gemini,gemini-1.0-pro-latest,3,table.csv,clarity,3.91
130,gemini,gemini-1.0-pro-latest,3,word_best.csv,similarity,66.06670227188214
131,gemini,gemini-1.0-pro-latest,3,word_best.csv,clarity,5.63
132,gemini,gemini-1.0-pro-latest,3,word_rank.csv,similarity,102.09162779666377
133,gemini,gemini-1.0-pro-latest,3,word_rank.csv,clarity,3.9
134,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric.csv,similarity,32.78405201611906
135,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric.csv,clarity,10.08
136,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_optional.csv,similarity,34.89079290942081
137,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_optional.csv,clarity,8.8
138,gemini,gemini-1.0-pro-latest,3,pipes.csv,similarity,80.8798880309672
139,gemini,gemini-1.0-pro-latest,3,pipes.csv,clarity,4.89
140,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_mandatory.csv,similarity,24.569654830872665
141,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_mandatory.csv,clarity,5.95
142,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_usw.csv,similarity,42.42074893931009
143,gemini,gemini-1.0-pro-latest,3,word_best_goods_centric_usw.csv,clarity,11.54
144,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_ef.csv,similarity,92.70041123527307
145,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_ef.csv,clarity,16.54
146,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_eq.csv,similarity,222.6395928512909
147,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_eq.csv,clarity,10.81
148,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_5.csv,similarity,215.4156563001523
149,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_5.csv,clarity,12.93
150,gemini,gemini-1.0-pro-latest,4,word_best_person_centric.csv,similarity,651.8772277227728
151,gemini,gemini-1.0-pro-latest,4,word_best_person_centric.csv,clarity,3.72
152,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_4.csv,similarity,140.29557044263845
153,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_4.csv,clarity,14.4
154,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_True.csv,similarity,141.84776439174684
155,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_True.csv,clarity,15.1
156,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_3.csv,similarity,146.7136060750937
157,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_3.csv,clarity,15.8
158,gemini,gemini-1.0-pro-latest,4,word.csv,similarity,287.5490613797907
159,gemini,gemini-1.0-pro-latest,4,word.csv,clarity,5.19
160,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_2.csv,similarity,266.8757454507224
161,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_2.csv,clarity,10.89
162,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_rmm.csv,similarity,130.8980350770001
163,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_rmm.csv,clarity,15.32
164,gemini,gemini-1.0-pro-latest,4,table.csv,similarity,775.3396839062793
165,gemini,gemini-1.0-pro-latest,4,table.csv,clarity,6.54
166,gemini,gemini-1.0-pro-latest,4,word_best.csv,similarity,299.50888609397924
167,gemini,gemini-1.0-pro-latest,4,word_best.csv,clarity,7.63
168,gemini,gemini-1.0-pro-latest,4,word_rank.csv,similarity,523.5324931411197
169,gemini,gemini-1.0-pro-latest,4,word_rank.csv,clarity,4.45
170,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric.csv,similarity,91.9552499449505
171,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric.csv,clarity,15.9
172,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_optional.csv,similarity,151.99756373353233
173,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_optional.csv,clarity,12.98
174,gemini,gemini-1.0-pro-latest,4,pipes.csv,similarity,738.8806715454158
175,gemini,gemini-1.0-pro-latest,4,pipes.csv,clarity,4.92
176,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_mandatory.csv,similarity,297.83050500802455
177,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_mandatory.csv,clarity,10.11
178,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_usw.csv,similarity,56.31139536313884
179,gemini,gemini-1.0-pro-latest,4,word_best_goods_centric_usw.csv,clarity,21.18
180,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_ef.csv,similarity,41.84272300469483
181,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_ef.csv,clarity,17.83
182,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_eq.csv,similarity,56.048920187793435
183,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_eq.csv,clarity,8.32
184,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_5.csv,similarity,41.25708920187793
185,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_5.csv,clarity,19.33
186,gemini,gemini-1.0-pro-latest,5,word_best_person_centric.csv,similarity,351.01954566106326
187,gemini,gemini-1.0-pro-latest,5,word_best_person_centric.csv,clarity,1.54
188,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_4.csv,similarity,40.303568075117376
189,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_4.csv,clarity,17.42
190,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_True.csv,similarity,42.76507042253522
191,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_True.csv,clarity,13.37
192,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_3.csv,similarity,41.25708920187793
193,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_3.csv,clarity,18.12
194,gemini,gemini-1.0-pro-latest,5,word.csv,similarity,228.1796844649007
195,gemini,gemini-1.0-pro-latest,5,word.csv,clarity,2.3
196,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_2.csv,similarity,40.805352112676054
197,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_2.csv,clarity,16.85
198,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_rmm.csv,similarity,44.673427230046954
199,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_rmm.csv,clarity,12.12
200,gemini,gemini-1.0-pro-latest,5,table.csv,similarity,360.1608450704226
201,gemini,gemini-1.0-pro-latest,5,table.csv,clarity,1.35
202,gemini,gemini-1.0-pro-latest,5,word_best.csv,similarity,229.20723004694838
203,gemini,gemini-1.0-pro-latest,5,word_best.csv,clarity,2.39
204,gemini,gemini-1.0-pro-latest,5,word_rank.csv,similarity,342.0095436198303
205,gemini,gemini-1.0-pro-latest,5,word_rank.csv,clarity,1.28
206,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric.csv,similarity,48.16835680751173
207,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric.csv,clarity,20.57
208,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_optional.csv,similarity,132.53117370892022
209,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_optional.csv,clarity,6.48
210,gemini,gemini-1.0-pro-latest,5,pipes.csv,similarity,324.1413746057458
211,gemini,gemini-1.0-pro-latest,5,pipes.csv,clarity,1.08
212,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_mandatory.csv,similarity,121.5568075117371
213,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_mandatory.csv,clarity,5.83
214,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_usw.csv,similarity,46.77934272300469
215,gemini,gemini-1.0-pro-latest,5,word_best_goods_centric_usw.csv,clarity,20.31
216,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_ef.csv,similarity,395.52337202286725
217,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_ef.csv,clarity,13.42
218,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_eq.csv,similarity,405.3491496466568
219,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_eq.csv,clarity,4.94
220,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_5.csv,similarity,395.52337202286725
221,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_5.csv,clarity,14.3
222,gemini,gemini-1.0-pro-latest,6,word_best_person_centric.csv,similarity,399.95196523547855
223,gemini,gemini-1.0-pro-latest,6,word_best_person_centric.csv,clarity,13.16
224,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_4.csv,similarity,409.3636177719828
225,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_4.csv,clarity,13.03
226,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_True.csv,similarity,533.3607624805109
227,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_True.csv,clarity,16.44
228,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_3.csv,similarity,450.38851022395323
229,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_3.csv,clarity,16.3
230,gemini,gemini-1.0-pro-latest,6,word.csv,similarity,302.23200192361554
231,gemini,gemini-1.0-pro-latest,6,word.csv,clarity,4.52
232,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_2.csv,similarity,400.3753681280279
233,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_2.csv,clarity,12.82
234,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_rmm.csv,similarity,445.73564076678156
235,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_rmm.csv,clarity,10.47
236,gemini,gemini-1.0-pro-latest,6,table.csv,similarity,372.6730957554658
237,gemini,gemini-1.0-pro-latest,6,table.csv,clarity,7.01
238,gemini,gemini-1.0-pro-latest,6,word_best.csv,similarity,363.69923710745957
239,gemini,gemini-1.0-pro-latest,6,word_best.csv,clarity,4.7
240,gemini,gemini-1.0-pro-latest,6,word_rank.csv,similarity,364.5957169347319
241,gemini,gemini-1.0-pro-latest,6,word_rank.csv,clarity,6.17
242,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric.csv,similarity,411.30530481276014
243,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric.csv,clarity,15.04
244,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_optional.csv,similarity,438.0345696859637
245,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_optional.csv,clarity,10.58
246,gemini,gemini-1.0-pro-latest,6,pipes.csv,similarity,236.8816551590727
247,gemini,gemini-1.0-pro-latest,6,pipes.csv,clarity,5.9
248,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_mandatory.csv,similarity,367.373952365876
249,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_mandatory.csv,clarity,13.1
250,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_usw.csv,similarity,387.04532428695677
251,gemini,gemini-1.0-pro-latest,6,word_best_goods_centric_usw.csv,clarity,14.28
252,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_ef.csv,similarity,1087.3159695947097
253,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_ef.csv,clarity,2.05
254,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_eq.csv,similarity,931.4049306336708
255,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_eq.csv,clarity,2.28
256,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_5.csv,similarity,881.9477877765279
257,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_5.csv,clarity,1.76
258,gemini,gemini-1.0-pro-latest,7,word_best_person_centric.csv,similarity,1344.2242424242424
259,gemini,gemini-1.0-pro-latest,7,word_best_person_centric.csv,clarity,2.41
260,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_4.csv,similarity,897.7244844394451
261,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_4.csv,clarity,2.74
262,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_True.csv,similarity,989.9833333333333
263,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_True.csv,clarity,3.39
264,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_3.csv,similarity,1208.7863670450283
265,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_3.csv,clarity,2.5
266,gemini,gemini-1.0-pro-latest,7,word.csv,similarity,530.0190476190476
267,gemini,gemini-1.0-pro-latest,7,word.csv,clarity,1.96
268,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_2.csv,similarity,1406.9530558680165
269,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_2.csv,clarity,2.24
270,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_rmm.csv,similarity,1315.4788901387326
271,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_rmm.csv,clarity,2.35
272,gemini,gemini-1.0-pro-latest,7,table.csv,similarity,515.6333588983196
273,gemini,gemini-1.0-pro-latest,7,table.csv,clarity,3.45
274,gemini,gemini-1.0-pro-latest,7,word_best.csv,similarity,454.6335020622422
275,gemini,gemini-1.0-pro-latest,7,word_best.csv,clarity,3.0
276,gemini,gemini-1.0-pro-latest,7,word_rank.csv,similarity,1053.2620734908137
277,gemini,gemini-1.0-pro-latest,7,word_rank.csv,clarity,3.07
278,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric.csv,similarity,1039.5173415823022
279,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric.csv,clarity,1.77
280,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_optional.csv,similarity,1276.4280277465316
281,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_optional.csv,clarity,1.76
282,gemini,gemini-1.0-pro-latest,7,pipes.csv,similarity,509.53615059481206
283,gemini,gemini-1.0-pro-latest,7,pipes.csv,clarity,1.91
284,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_mandatory.csv,similarity,1701.1530558680165
285,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_mandatory.csv,clarity,1.94
286,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_usw.csv,similarity,1286.1173415823023
287,gemini,gemini-1.0-pro-latest,7,word_best_goods_centric_usw.csv,clarity,2.15
288,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_ef.csv,similarity,386.1096515572001
289,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_ef.csv,clarity,2.26
290,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_eq.csv,similarity,516.1938328707986
291,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_eq.csv,clarity,1.85
292,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_5.csv,similarity,430.8990793357121
293,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_5.csv,clarity,2.34
294,gemini,gemini-1.0-pro-latest,8,word_best_person_centric.csv,similarity,591.2185801405753
295,gemini,gemini-1.0-pro-latest,8,word_best_person_centric.csv,clarity,0.58
296,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_4.csv,similarity,465.6448967005859
297,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_4.csv,clarity,2.49
298,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_True.csv,similarity,368.2877758689044
299,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_True.csv,clarity,2.04
300,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_3.csv,similarity,441.1841857186908
301,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_3.csv,clarity,2.48
302,gemini,gemini-1.0-pro-latest,8,word.csv,similarity,338.2930483212558
303,gemini,gemini-1.0-pro-latest,8,word.csv,clarity,0.55
304,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_2.csv,similarity,390.18694330646224
305,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_2.csv,clarity,2.7
306,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_rmm.csv,similarity,402.52855821329456
307,gemini,gemini-1.0-pro-latest,8,word_best_goods_centric_rmm.csv,clarity,1.8
308,gemini,gemini-1.0-pro-latest,8,table.csv,similarity,606.722214341712
309,gemini,gemini-1.0-pro-latest,8,table.csv,clarity,0.72
